Date,Season,HomeTeam,AwayTeam,Attendance,Miami_Home,Post_Messi,Interaction,Miami_Away,Away_Interaction
2022-02-26,2022,LAFC,Colorado Rapids,22010,0,0,0,0,0
2022-02-26,2022,Philadelphia Union,Minnesota Utd,17487,0,0,0,0,0
2022-02-26,2022,SJ Earthquakes,NY Red Bulls,16146,0,0,0,0,0
2022-02-26,2022,Columbus Crew,Vancouver W'caps,18939,0,0,0,0,0
2022-02-26,2022,FC Dallas,Toronto FC,12233,0,0,0,0,0
2022-02-26,2022,Austin FC,FC Cincinnati,20738,0,0,0,0,0
2022-02-26,2022,D.C. United,Charlotte,16412,0,0,0,0,0
2022-02-26,2022,Inter Miami,Chicago Fire,15973,1,0,0,0,0
2022-02-27,2022,Orlando City,CF Montr챕al,21283,0,0,0,0,0
2022-02-27,2022,LA Galaxy,NYCFC,25174,0,0,0,0,0
2022-02-27,2022,Atlanta Utd,Sporting KC,67523,0,0,0,0,0
2022-02-26,2022,Portland Timbers,NE Revolution,23411,0,0,0,0,0
2022-02-27,2022,Seattle Sounders,Nashville SC,30013,0,0,0,0,0
2022-02-27,2022,Houston Dynamo,Real Salt Lake,18561,0,0,0,0,0
2022-03-05,2022,NE Revolution,FC Dallas,14554,0,0,0,0,0
2022-03-05,2022,Toronto FC,NY Red Bulls,23121,0,0,0,0,0
2022-03-05,2022,SJ Earthquakes,Columbus Crew,12888,0,0,0,0,0
2022-03-05,2022,Sporting KC,Houston Dynamo,18872,0,0,0,0,0
2022-03-05,2022,Vancouver W'caps,NYCFC,18643,0,0,0,0,0
2022-03-05,2022,Real Salt Lake,Seattle Sounders,20017,0,0,0,0,0
2022-03-05,2022,CF Montr챕al,Philadelphia Union,13067,0,0,0,0,0
2022-03-05,2022,Colorado Rapids,Atlanta Utd,12538,0,0,0,0,0
2022-03-05,2022,Minnesota Utd,Nashville SC,18107,0,0,0,0,0
2022-03-05,2022,Chicago Fire,Orlando City,25477,0,0,0,0,0
2022-03-05,2022,FC Cincinnati,D.C. United,22183,0,0,0,0,0
2022-03-06,2022,Austin FC,Inter Miami,20738,0,0,0,1,0
2022-03-05,2022,Charlotte,LA Galaxy,74479,0,0,0,0,0
2022-03-06,2022,LAFC,Portland Timbers,22102,0,0,0,0,0
2022-03-12,2022,Seattle Sounders,LA Galaxy,33200,0,0,0,0,0
2022-03-12,2022,NYCFC,CF Montr챕al,21113,0,0,0,0,0
